   m   |   k   |    GFLOPS/S     |   minimum (ms)   |   median (ms)   |   stability (%)
   500 |     1 |        0.539477 |        0.000452 |        0.000456 |     1.018900
   600 |     1 |        0.659092 |        0.000494 |        0.000545 |    10.286735
   700 |     1 |        0.490752 |        0.000953 |        0.001000 |     4.941453
   800 |     1 |        0.640934 |        0.000970 |        0.001000 |     3.081611
   900 |     1 |        0.812562 |        0.000928 |        0.001000 |     7.712656
  1000 |     1 |        1.000762 |        0.000986 |        0.001000 |     1.368472
  1100 |     1 |        0.958250 |        0.001233 |        0.001254 |     1.754115
  1200 |     1 |        0.963889 |        0.001436 |        0.001499 |     4.428614
  1300 |     1 |        1.050963 |        0.001552 |        0.001603 |     3.255242
  1400 |     1 |        1.111600 |        0.001737 |        0.001752 |     0.886644
  1500 |     1 |        1.115473 |        0.001989 |        0.002001 |     0.584964
  1600 |     1 |        1.135317 |        0.002213 |        0.002245 |     1.464061
  1700 |     1 |        1.207273 |        0.002331 |        0.002388 |     2.471333
  1800 |     1 |        1.195234 |        0.002660 |        0.002711 |     1.928180
  1900 |     1 |        1.202732 |        0.002966 |        0.003000 |     1.145544
  2000 |     1 |        1.306215 |        0.002957 |        0.003038 |     2.745857
  2100 |     1 |        1.247125 |        0.003470 |        0.003517 |     1.348826
  2200 |     1 |        1.215560 |        0.003851 |        0.003994 |     3.731842
  2300 |     1 |        1.298843 |        0.003954 |        0.004086 |     3.335765
  2400 |     1 |        1.252632 |        0.004323 |        0.004571 |     5.744102
  2500 |     1 |        1.259428 |        0.004843 |        0.004964 |     2.504750
  2600 |     1 |        1.350150 |        0.004932 |        0.004996 |     1.305695
  2700 |     1 |        1.338886 |        0.005294 |        0.005471 |     3.329686
  2800 |     1 |        1.305773 |        0.005838 |        0.005993 |     2.655084
  2900 |     1 |        1.387972 |        0.005939 |        0.006031 |     1.559345
  3000 |     1 |        1.379996 |        0.006467 |        0.006498 |     0.467083
   500 |     2 |        1.609451 |        0.000456 |        0.000459 |     0.569786
   600 |     2 |        1.977040 |        0.000503 |        0.000547 |     8.849894
   700 |     2 |        1.475201 |        0.000957 |        0.001000 |     4.430222
   800 |     2 |        1.923398 |        0.000916 |        0.001000 |     9.121420
   900 |     2 |        2.441904 |        0.000932 |        0.001000 |     7.298224
  1000 |     2 |        2.781119 |        0.001046 |        0.001081 |     3.288139
  1100 |     2 |        2.846760 |        0.001244 |        0.001276 |     2.562383
  1200 |     2 |        3.023843 |        0.001367 |        0.001425 |     4.237391
  1300 |     2 |        3.126403 |        0.001596 |        0.001615 |     1.202623
  1400 |     2 |        3.343031 |        0.001744 |        0.001752 |     0.475767
  1500 |     2 |        3.376894 |        0.001965 |        0.002000 |     1.776311
  1600 |     2 |        3.317067 |        0.002252 |        0.002302 |     2.228645
  1700 |     2 |        3.760573 |        0.002271 |        0.002301 |     1.317558
  1800 |     2 |        3.678625 |        0.002610 |        0.002641 |     1.176385
  1900 |     2 |        3.584873 |        0.002971 |        0.003001 |     0.993444
  2000 |     2 |        3.736428 |        0.003139 |        0.003192 |     1.701365
  2100 |     2 |        3.587362 |        0.003548 |        0.003681 |     3.737451
  2200 |     2 |        3.660342 |        0.003832 |        0.003986 |     4.019166
  2300 |     2 |        3.956800 |        0.003936 |        0.004015 |     2.014842
  2400 |     2 |        3.822994 |        0.004445 |        0.004512 |     1.502352
  2500 |     2 |        3.775721 |        0.004840 |        0.004966 |     2.615477
  2600 |     2 |        4.032440 |        0.004971 |        0.005025 |     1.080101
  2700 |     2 |        4.066581 |        0.005254 |        0.005378 |     2.366031
  2800 |     2 |        3.925950 |        0.005942 |        0.005990 |     0.816557
  2900 |     2 |        4.133128 |        0.006060 |        0.006102 |     0.691245
  3000 |     2 |        4.126906 |        0.006480 |        0.006526 |     0.708275
   500 |     3 |        2.818936 |        0.000438 |        0.000440 |     0.500544
   600 |     3 |        3.332092 |        0.000502 |        0.000545 |     8.603989
   700 |     3 |        2.454521 |        0.000955 |        0.001000 |     4.693078
