   m   |   k   |    GFLOPS/S     |   minimum (ms)   |   median (ms)   |   stability (%)
   500 |     1 |        0.616058 |        0.401798 |        0.405670 |     0.963686
   600 |     1 |        0.716291 |        0.499014 |        0.502278 |     0.654072
   700 |     1 |        0.823240 |        0.589870 |        0.595294 |     0.919528
   800 |     1 |        0.849126 |        0.749131 |        0.753567 |     0.592188
   900 |     1 |        0.872257 |        0.926172 |        0.928576 |     0.259555
  1000 |     1 |        0.939341 |        1.060525 |        1.064609 |     0.385096
  1100 |     1 |        0.959437 |        1.257613 |        1.260509 |     0.230266
  1200 |     1 |        0.976547 |        1.465486 |        1.475410 |     0.677168
  1300 |     1 |        0.990391 |        1.703511 |        1.706515 |     0.176346
  1400 |     1 |        1.008511 |        1.939036 |        1.942604 |     0.184013
  1500 |     1 |        1.013802 |        2.215629 |        2.219025 |     0.153282
  1600 |     1 |        1.037835 |        2.463735 |        2.466731 |     0.121607
  1700 |     1 |        1.026043 |        2.812204 |        2.816276 |     0.144795
  1800 |     1 |        1.042741 |        3.103705 |        3.106597 |     0.093177
  1900 |     1 |        1.055203 |        3.418031 |        3.420915 |     0.084380
  2000 |     1 |        1.058842 |        3.773576 |        3.776884 |     0.087659
  2100 |     1 |        1.056192 |        4.165954 |        4.175438 |     0.227656
  2200 |     1 |        1.047357 |        4.609048 |        4.619348 |     0.223475
  2300 |     1 |        1.056571 |        4.993377 |        5.006937 |     0.271565
  2400 |     1 |        1.081689 |        5.297951 |        5.326099 |     0.531302
  2500 |     1 |        1.111168 |        5.613292 |        5.622576 |     0.165393
  2600 |     1 |        1.110610 |        6.077434 |        6.086526 |     0.149605
  2700 |     1 |        1.125692 |        6.462476 |        6.476660 |     0.219480
  2800 |     1 |        1.143477 |        6.847533 |        6.855045 |     0.109704
  2900 |     1 |        1.160111 |        7.239879 |        7.249815 |     0.137239
  3000 |     1 |        1.169504 |        7.673621 |        7.696541 |     0.298688
   500 |     2 |        1.827474 |        0.406714 |        0.410082 |     0.828064
   600 |     2 |        2.134334 |        0.500578 |        0.506162 |     1.115477
   700 |     2 |        2.447111 |        0.596591 |        0.600579 |     0.668484
   800 |     2 |        2.505843 |        0.761587 |        0.765671 |     0.536278
   900 |     2 |        2.586369 |        0.936980 |        0.939420 |     0.260418
  1000 |     2 |        2.814590 |        1.063861 |        1.065904 |     0.192119
  1100 |     2 |        2.886386 |        1.252173 |        1.257353 |     0.413682
  1200 |     2 |        2.888993 |        1.486718 |        1.495726 |     0.605907
  1300 |     2 |        2.917546 |        1.734139 |        1.737959 |     0.220288
  1400 |     2 |        2.994799 |        1.957060 |        1.961712 |     0.237701
  1500 |     2 |        3.035438 |        2.219921 |        2.222826 |     0.130826
  1600 |     2 |        3.104653 |        2.470023 |        2.473547 |     0.142668
  1700 |     2 |        3.083168 |        2.807696 |        2.812124 |     0.157712
  1800 |     2 |        3.105447 |        3.125237 |        3.130213 |     0.159222
  1900 |     2 |        3.147090 |        3.436851 |        3.441187 |     0.126164
  2000 |     2 |        3.113818 |        3.849388 |        3.853660 |     0.110978
  2100 |     2 |        3.129509 |        4.221742 |        4.226834 |     0.120612
  2200 |     2 |        3.125501 |        4.635900 |        4.645716 |     0.211742
  2300 |     2 |        3.180865 |        4.973117 |        4.988813 |     0.315620
  2400 |     2 |        3.189612 |        5.395755 |        5.418847 |     0.427965
  2500 |     2 |        3.251759 |        5.755593 |        5.766125 |     0.182990
  2600 |     2 |        3.307543 |        6.120974 |        6.131194 |     0.166966
  2700 |     2 |        3.374650 |        6.461392 |        6.481148 |     0.305754
  2800 |     2 |        3.418875 |        6.869361 |        6.879825 |     0.152331
  2900 |     2 |        3.450619 |        7.301055 |        7.310775 |     0.133134
  3000 |     2 |        3.500819 |        7.705149 |        7.712305 |     0.092872
   500 |     3 |        3.004991 |        0.413046 |        0.415986 |     0.711785
   600 |     3 |        3.519525 |        0.508402 |        0.511738 |     0.656210
   700 |     3 |        4.083767 |        0.597763 |        0.599775 |     0.336593
   800 |     3 |        4.171381 |        0.762223 |        0.767543 |     0.697945
   900 |     3 |        4.294318 |        0.939952 |        0.942596 |     0.281294
  1000 |     3 |        4.769813 |        1.044881 |        1.048069 |     0.305099
  1100 |     3 |        4.884897 |        1.234037 |        1.237741 |     0.300142
  1200 |     3 |        4.824666 |        1.486271 |        1.492906 |     0.446477
  1300 |     3 |        4.847810 |        1.736259 |        1.743175 |     0.398328
  1400 |     3 |        4.997942 |        1.953180 |        1.958437 |     0.269110
  1500 |     3 |        5.110306 |        2.197181 |        2.200445 |     0.148550
  1600 |     3 |        5.146195 |        2.482871 |        2.486783 |     0.157557
  1700 |     3 |        5.122477 |        2.814096 |        2.820120 |     0.214071
  1800 |     3 |        5.157346 |        3.138645 |        3.140965 |     0.073915
  1900 |     3 |        5.223810 |        3.450535 |        3.455407 |     0.141199
  2000 |     3 |        5.222002 |        3.826520 |        3.829448 |     0.076516
  2100 |     3 |        5.222039 |        4.216510 |        4.222326 |     0.137937
  2200 |     3 |        5.168371 |        4.671112 |        4.682220 |     0.237804
  2300 |     3 |        5.253517 |        5.019389 |        5.033394 |     0.279004
  2400 |     3 |        5.326194 |        5.397379 |        5.403379 |     0.111171
  2500 |     3 |        5.456402 |        5.709224 |        5.728384 |     0.335599
  2600 |     3 |        5.560516 |        6.060478 |        6.080342 |     0.327763
  2700 |     3 |        5.649087 |        6.425023 |        6.453495 |     0.443143
  2800 |     3 |        5.345996 |        7.315403 |        7.333207 |     0.243378
  2900 |     3 |        5.233574 |        8.024774 |        8.035090 |     0.128553
  3000 |     3 |        5.293426 |        8.483168 |        8.501844 |     0.220156
   500 |     4 |        4.290653 |        0.404046 |        0.407470 |     0.847454
   600 |     4 |        4.926318 |        0.509098 |        0.511590 |     0.489499
   700 |     4 |        5.687077 |        0.599439 |        0.602742 |     0.551176
   800 |     4 |        5.853677 |        0.762415 |        0.765463 |     0.399762
   900 |     4 |        6.098790 |        0.926156 |        0.929736 |     0.386544
  1000 |     4 |        6.534616 |        1.067953 |        1.071373 |     0.320239
  1100 |     4 |        6.706494 |        1.257161 |        1.263121 |     0.474091
  1200 |     4 |        6.735652 |        1.485846 |        1.497658 |     0.794965
  1300 |     4 |        6.823195 |        1.723739 |        1.734619 |     0.631191
  1400 |     4 |        7.021349 |        1.949920 |        1.953920 |     0.205138
  1500 |     4 |        7.170850 |        2.192646 |        2.195745 |     0.141373
  1600 |     4 |        7.190983 |        2.487466 |        2.490835 |     0.135408
  1700 |     4 |        7.226884 |        2.794792 |        2.798856 |     0.145417
  1800 |     4 |        7.230566 |        3.131613 |        3.136225 |     0.147275
  1900 |     4 |        7.349026 |        3.435867 |        3.438063 |     0.063916
  2000 |     4 |        7.292293 |        3.835800 |        3.839720 |     0.102198
  2100 |     4 |        7.363750 |        4.186210 |        4.192386 |     0.147536
  2200 |     4 |        7.287519 |        4.637848 |        4.647068 |     0.198797
  2300 |     4 |        7.242294 |        5.090962 |        5.114734 |     0.466949
  2400 |     4 |        7.330064 |        5.490951 |        5.501167 |     0.186056
  2500 |     4 |        7.342648 |        5.954053 |        5.958278 |     0.070945
  2600 |     4 |        7.352547 |        6.428527 |        6.435943 |     0.115363
  2700 |     4 |        7.445710 |        6.840085 |        6.852949 |     0.188070
  2800 |     4 |        7.396689 |        7.401960 |        7.423240 |     0.287494
  2900 |     4 |        7.399404 |        7.944014 |        7.953042 |     0.113646
  3000 |     4 |        7.389283 |        8.517956 |        8.523972 |     0.070627
   500 |     5 |        5.456367 |        0.408082 |        0.412062 |     0.975272
   600 |     5 |        6.279032 |        0.513951 |        0.516227 |     0.442837
   700 |     5 |        7.326689 |        0.599795 |        0.601187 |     0.232103
   800 |     5 |        7.517708 |        0.762472 |        0.765548 |     0.403421
   900 |     5 |        7.679581 |        0.946081 |        0.949069 |     0.315835
  1000 |     5 |        8.430038 |        1.064202 |        1.067586 |     0.318007
  1100 |     5 |        8.596888 |        1.263551 |        1.266319 |     0.219057
  1200 |     5 |        8.782252 |        1.467000 |        1.476440 |     0.643495
  1300 |     5 |        8.752734 |        1.732137 |        1.738013 |     0.339239
  1400 |     5 |        8.966739 |        1.962722 |        1.965767 |     0.155097
  1500 |     5 |        8.973027 |        2.253360 |        2.256784 |     0.151955
  1600 |     5 |        9.248322 |        2.484825 |        2.491230 |     0.257730
  1700 |     5 |        9.164790 |        2.830939 |        2.834431 |     0.123361
  1800 |     5 |        9.312701 |        3.127957 |        3.130897 |     0.093985
  1900 |     5 |        9.595497 |        3.379482 |        3.385634 |     0.182038
  2000 |     5 |        9.382690 |        3.832505 |        3.836245 |     0.097586
  2100 |     5 |        9.568074 |        4.141310 |        4.146642 |     0.128752
  2200 |     5 |        9.479154 |        4.589577 |        4.594945 |     0.116964
  2300 |     5 |        9.367667 |        5.066191 |        5.082339 |     0.318741
  2400 |     5 |        9.335005 |        5.544294 |        5.553794 |     0.171348
  2500 |     5 |        9.435969 |        5.954716 |        5.961344 |     0.111310
  2600 |     5 |        9.443790 |        6.435907 |        6.442791 |     0.106962
  2700 |     5 |        9.490145 |        6.907573 |        6.912753 |     0.074988
  2800 |     5 |        9.519069 |        7.406316 |        7.411968 |     0.076313
  2900 |     5 |        9.440735 |        8.011195 |        8.016715 |     0.068903
  3000 |     5 |        9.471973 |        8.542794 |        8.551482 |     0.101699
   500 |     6 |        6.610547 |        0.412922 |        0.415774 |     0.690753
   600 |     6 |        7.733737 |        0.508598 |        0.512094 |     0.687379
   700 |     6 |        8.901652 |        0.601407 |        0.605627 |     0.701690
   800 |     6 |        9.210306 |        0.760751 |        0.764031 |     0.431144
   900 |     6 |        9.460656 |        0.939140 |        0.941560 |     0.257697
  1000 |     6 |       10.215419 |        1.071833 |        1.076673 |     0.451553
  1100 |     6 |       10.439195 |        1.270933 |        1.274430 |     0.275088
  1200 |     6 |       10.662953 |        1.479722 |        1.485650 |     0.400619
  1300 |     6 |       10.750494 |        1.725959 |        1.729384 |     0.198388
  1400 |     6 |       10.844942 |        1.984225 |        1.987221 |     0.150985
  1500 |     6 |       11.181701 |        2.210733 |        2.213510 |     0.125573
  1600 |     6 |       11.289256 |        2.491151 |        2.494435 |     0.131828
  1700 |     6 |       11.216625 |        2.829472 |        2.834460 |     0.176286
  1800 |     6 |       11.371256 |        3.132386 |        3.134217 |     0.058483
  1900 |     6 |       11.538900 |        3.437871 |        3.440667 |     0.081324
  2000 |     6 |       11.474709 |        3.830536 |        3.834593 |     0.105888
  2100 |     6 |       11.471202 |        4.222550 |        4.228842 |     0.149010
  2200 |     6 |       11.316032 |        4.692400 |        4.704780 |     0.263836
  2300 |     6 |       11.366290 |        5.108114 |        5.119130 |     0.215658
  2400 |     6 |       11.493236 |        5.503228 |        5.513176 |     0.180767
  2500 |     6 |       11.565826 |        5.928986 |        5.943850 |     0.250702
  2600 |     6 |       11.485207 |        6.469104 |        6.473796 |     0.072532
  2700 |     6 |       11.617498 |        6.881874 |        6.903186 |     0.309681
  2800 |     6 |       11.590886 |        7.430084 |        7.439876 |     0.131790
  2900 |     6 |       11.547275 |        8.002699 |        8.011039 |     0.104215
  3000 |     6 |       11.613533 |        8.513293 |        8.525365 |     0.141802
   500 |     7 |        7.784646 |        0.413118 |        0.417310 |     1.014740
   600 |     7 |        9.089615 |        0.511686 |        0.514578 |     0.565142
   700 |     7 |       10.565690 |        0.600423 |        0.601991 |     0.261176
   800 |     7 |       10.801769 |        0.767387 |        0.769723 |     0.304402
   900 |     7 |       11.168504 |        0.938752 |        0.942644 |     0.414593
  1000 |     7 |       12.071772 |        1.070732 |        1.076853 |     0.571597
  1100 |     7 |       12.292434 |        1.273013 |        1.278862 |     0.459394
  1200 |     7 |       12.563734 |        1.485918 |        1.489678 |     0.253050
  1300 |     7 |       12.711303 |        1.725823 |        1.728299 |     0.143479
  1400 |     7 |       12.943041 |        1.965405 |        1.967929 |     0.128415
  1500 |     7 |       13.125437 |        2.225470 |        2.228590 |     0.140192
  1600 |     7 |       13.360298 |        2.487523 |        2.490595 |     0.123499
  1700 |     7 |       13.236309 |        2.834980 |        2.838668 |     0.130084
  1800 |     7 |       13.594226 |        3.094913 |        3.097909 |     0.096800
  1900 |     7 |       13.608052 |        3.444867 |        3.448703 |     0.111352
  2000 |     7 |       13.585802 |        3.823677 |        3.827265 |     0.093837
  2100 |     7 |       13.638462 |        4.200058 |        4.202234 |     0.051807
  2200 |     7 |       13.535556 |        4.639324 |        4.649020 |     0.209000
  2300 |     7 |       13.407708 |        5.114790 |        5.130894 |     0.314849
  2400 |     7 |       13.565148 |        5.507856 |        5.521796 |     0.253090
  2500 |     7 |       13.652238 |        5.937738 |        5.952242 |     0.244269
  2600 |     7 |       13.665037 |        6.419196 |        6.431120 |     0.185757
  2700 |     7 |       13.651407 |        6.937386 |        6.941518 |     0.059563
  2800 |     7 |       13.590385 |        7.488260 |        7.498888 |     0.141930
