   m   |   k   |    GFLOPS/S     |   minimum (ms)   |   median (ms)   |   stability (%)
   500 |     1 |        1.562059 |        0.156008 |        0.159952 |     2.528171
   600 |     1 |        1.807482 |        0.198076 |        0.199232 |     0.583687
   700 |     1 |        1.239309 |        0.391180 |        0.395448 |     1.091074
   800 |     1 |        1.378096 |        0.461808 |        0.464132 |     0.503285
   900 |     1 |        1.526526 |        0.527648 |        0.530396 |     0.520794
  1000 |     1 |        1.676829 |        0.591100 |        0.596132 |     0.851283
  1100 |     1 |        1.673415 |        0.721200 |        0.723072 |     0.259562
  1200 |     1 |        1.800831 |        0.795584 |        0.799460 |     0.487186
  1300 |     1 |        1.791966 |        0.940040 |        0.942300 |     0.240410
  1400 |     1 |        1.884615 |        1.037128 |        1.039848 |     0.262283
  1500 |     1 |        1.867787 |        1.201604 |        1.204308 |     0.225048
  1600 |     1 |        1.973999 |        1.290960 |        1.296752 |     0.448650
  1700 |     1 |        1.965837 |        1.460544 |        1.470552 |     0.685224
  1800 |     1 |        1.950928 |        1.656668 |        1.661216 |     0.274528
  1900 |     1 |        2.011074 |        1.786644 |        1.795020 |     0.468809
  2000 |     1 |        2.032444 |        1.963388 |        1.967904 |     0.230010
  2100 |     1 |        2.031801 |        2.167654 |        2.170362 |     0.124941
  2200 |     1 |        2.048394 |        2.359622 |        2.362534 |     0.123404
  2300 |     1 |        2.059265 |        2.563914 |        2.569298 |     0.209990
  2400 |     1 |        2.099035 |        2.741095 |        2.743759 |     0.097186
  2500 |     1 |        2.104801 |        2.965123 |        2.968947 |     0.128966
  2600 |     1 |        2.137744 |        3.156751 |        3.161451 |     0.148888
  2700 |     1 |        2.149858 |        3.385171 |        3.390271 |     0.150660
  2800 |     1 |        2.158456 |        3.627508 |        3.631724 |     0.116226
  2900 |     1 |        2.097681 |        4.003360 |        4.008880 |     0.137883
  3000 |     1 |        2.112073 |        4.256196 |        4.260220 |     0.094546
   500 |     2 |        4.623431 |        0.161224 |        0.162072 |     0.526014
   600 |     2 |        5.404015 |        0.198152 |        0.199696 |     0.779172
   700 |     2 |        3.675189 |        0.397521 |        0.400196 |     0.673142
   800 |     2 |        4.031924 |        0.473992 |        0.476352 |     0.497932
   900 |     2 |        4.537472 |        0.533205 |        0.535177 |     0.369836
  1000 |     2 |        5.036901 |        0.590068 |        0.596305 |     1.056850
  1100 |     2 |        5.002962 |        0.723549 |        0.725561 |     0.278078
  1200 |     2 |        5.317168 |        0.807193 |        0.812597 |     0.669492
  1300 |     2 |        5.355213 |        0.943449 |        0.946253 |     0.297190
  1400 |     2 |        5.699060 |        1.028761 |        1.031929 |     0.307942
  1500 |     2 |        5.733261 |        1.172769 |        1.176949 |     0.356418
  1600 |     2 |        6.034047 |        1.267601 |        1.272221 |     0.364491
  1700 |     2 |        5.941632 |        1.451293 |        1.459489 |     0.564738
  1800 |     2 |        5.835969 |        1.661386 |        1.665514 |     0.248467
  1900 |     2 |        6.121286 |        1.759654 |        1.770054 |     0.591030
  2000 |     2 |        6.140816 |        1.949414 |        1.952446 |     0.155544
  2100 |     2 |        6.187805 |        2.133838 |        2.138150 |     0.202070
  2200 |     2 |        6.203740 |        2.338006 |        2.340010 |     0.085723
  2300 |     2 |        6.247508 |        2.536002 |        2.539434 |     0.135335
  2400 |     2 |        6.419041 |        2.688983 |        2.691627 |     0.098321
  2500 |     2 |        6.435589 |        2.909183 |        2.913395 |     0.144776
  2600 |     2 |        6.455996 |        3.137191 |        3.141467 |     0.136303
  2700 |     2 |        6.365301 |        3.431743 |        3.436255 |     0.131480
  2800 |     2 |        6.478437 |        3.627921 |        3.630165 |     0.061857
  2900 |     2 |        6.303440 |        3.996905 |        4.002449 |     0.138702
  3000 |     2 |        6.297029 |        4.281393 |        4.286845 |     0.127345
   500 |     3 |        7.632222 |        0.162368 |        0.163620 |     0.771132
   600 |     3 |        8.904164 |        0.200508 |        0.202140 |     0.813958
   700 |     3 |        6.147514 |        0.393868 |        0.398976 |     1.296863
   800 |     3 |        6.695472 |        0.475788 |        0.477608 |     0.382521
   900 |     3 |        7.520894 |        0.536680 |        0.538244 |     0.291433
  1000 |     3 |        8.343083 |        0.590480 |        0.599904 |     1.595967
  1100 |     3 |        8.288573 |        0.725436 |        0.729896 |     0.614791
  1200 |     3 |        8.995493 |        0.796876 |        0.799792 |     0.365925
  1300 |     3 |        8.896246 |        0.946976 |        0.950040 |     0.323542
  1400 |     3 |        9.394465 |        1.038932 |        1.043552 |     0.444679
  1500 |     3 |        9.386276 |        1.192153 |        1.198581 |     0.539192
  1600 |     3 |        9.923833 |        1.285161 |        1.289381 |     0.328350
  1700 |     3 |        9.794399 |        1.466397 |        1.475381 |     0.612652
  1800 |     3 |        9.752426 |        1.658257 |        1.661021 |     0.166691
  1900 |     3 |       10.168406 |        1.760453 |        1.776125 |     0.890221
  2000 |     3 |       10.198924 |        1.954561 |        1.959893 |     0.272789
  2100 |     3 |       10.177265 |        2.163545 |        2.166093 |     0.117766
  2200 |     3 |       10.273691 |        2.349717 |        2.355437 |     0.243433
  2300 |     3 |       10.319205 |        2.558110 |        2.562989 |     0.190764
  2400 |     3 |       10.600781 |        2.712374 |        2.715510 |     0.115610
  2500 |     3 |       10.636538 |        2.933874 |        2.937578 |     0.126251
  2600 |     3 |       10.693728 |        3.155910 |        3.160314 |     0.139549
  2700 |     3 |       10.717658 |        3.397258 |        3.400918 |     0.107731
  2800 |     3 |       10.690369 |        3.663346 |        3.666210 |     0.078180
  2900 |     3 |       10.567975 |        3.975018 |        3.978790 |     0.094894
  3000 |     3 |       10.543659 |        4.261739 |        4.266891 |     0.120887
   500 |     4 |       10.766237 |        0.161160 |        0.162600 |     0.893645
   600 |     4 |       12.463323 |        0.200072 |        0.202504 |     1.215591
   700 |     4 |        8.586938 |        0.397420 |        0.399240 |     0.457951
   800 |     4 |        9.297581 |        0.478608 |        0.482040 |     0.717141
   900 |     4 |       10.535621 |        0.534956 |        0.538220 |     0.610127
  1000 |     4 |       11.670081 |        0.596912 |        0.599744 |     0.474467
  1100 |     4 |       11.490864 |        0.733532 |        0.737252 |     0.507145
  1200 |     4 |       12.589269 |        0.799000 |        0.800036 |     0.129662
  1300 |     4 |       12.380749 |        0.953116 |        0.955492 |     0.249286
  1400 |     4 |       13.165036 |        1.038833 |        1.042245 |     0.328445
  1500 |     4 |       13.148245 |        1.190441 |        1.198609 |     0.686139
  1600 |     4 |       13.761267 |        1.297885 |        1.300873 |     0.230211
  1700 |     4 |       13.776330 |        1.459593 |        1.469229 |     0.660186
  1800 |     4 |       13.616200 |        1.657141 |        1.665533 |     0.506423
  1900 |     4 |       14.123541 |        1.783873 |        1.788809 |     0.276691
  2000 |     4 |       14.156414 |        1.972501 |        1.977073 |     0.231780
  2100 |     4 |       14.154657 |        2.177249 |        2.180885 |     0.166994
  2200 |     4 |       14.372821 |        2.354581 |        2.356989 |     0.102238
  2300 |     4 |       14.342086 |        2.575401 |        2.581593 |     0.240428
  2400 |     4 |       14.802797 |        2.718160 |        2.722113 |     0.145398
  2500 |     4 |       14.994906 |        2.913709 |        2.917241 |     0.121218
  2600 |     4 |       15.007237 |        3.149005 |        3.153505 |     0.142907
  2700 |     4 |       15.072384 |        3.382101 |        3.385389 |     0.097216
  2800 |     4 |       15.009473 |        3.651501 |        3.655477 |     0.108897
  2900 |     4 |       14.597579 |        4.028221 |        4.032313 |     0.101580
  3000 |     4 |       14.810060 |        4.247401 |        4.253765 |     0.149835
   500 |     5 |       13.799535 |        0.161016 |        0.163020 |     1.244492
   600 |     5 |       15.903419 |        0.202504 |        0.203456 |     0.470021
   700 |     5 |       10.815941 |        0.404672 |        0.407368 |     0.666263
   800 |     5 |       12.047785 |        0.476112 |        0.477924 |     0.380579
   900 |     5 |       13.469627 |        0.536344 |        0.541372 |     0.937462
  1000 |     5 |       14.995408 |        0.597668 |        0.600180 |     0.420325
  1100 |     5 |       15.000900 |        0.723772 |        0.725892 |     0.292944
  1200 |     5 |       15.661439 |        0.821832 |        0.827852 |     0.732495
  1300 |     5 |       15.956187 |        0.949664 |        0.953264 |     0.379094
  1400 |     5 |       16.994050 |        1.033564 |        1.038228 |     0.451242
  1500 |     5 |       16.824270 |        1.199856 |        1.202660 |     0.233697
  1600 |     5 |       17.805280 |        1.289972 |        1.292836 |     0.222021
  1700 |     5 |       17.661180 |        1.465224 |        1.473516 |     0.565916
  1800 |     5 |       17.499585 |        1.656252 |        1.666736 |     0.633000
  1900 |     5 |       18.270908 |        1.769256 |        1.779692 |     0.589854
  2000 |     5 |       18.530247 |        1.934673 |        1.943636 |     0.463324
  2100 |     5 |       18.437412 |        2.149916 |        2.151972 |     0.095631
  2200 |     5 |       18.458073 |        2.356216 |        2.359329 |     0.132081
