   m   |   k   |    GFLOPS/S     |   minimum (ms)   |   median (ms)   |   stability (%)
   500 |     1 |       23.898288 |        0.010048 |        0.010488 |     4.380387
   600 |     1 |       34.694291 |        0.010252 |        0.010336 |     0.821221
   700 |     1 |       44.873285 |        0.010828 |        0.010924 |     0.887635
   800 |     1 |       56.217972 |        0.011196 |        0.011364 |     1.500632
   900 |     1 |       68.922173 |        0.011632 |        0.011760 |     1.098479
  1000 |     1 |       79.313246 |        0.012492 |        0.012604 |     0.896132
  1100 |     1 |       93.114377 |        0.012844 |        0.012940 |     0.746853
  1200 |     1 |      105.502366 |        0.013496 |        0.013636 |     1.037871
  1300 |     1 |      115.285204 |        0.014524 |        0.014644 |     0.827188
  1400 |     1 |      128.496616 |        0.015128 |        0.015212 |     0.555296
  1500 |     1 |      136.413230 |        0.016012 |        0.016524 |     3.196650
  1600 |     1 |      149.205889 |        0.017028 |        0.017160 |     0.774456
  1700 |     1 |      154.178074 |        0.018564 |        0.018696 |     0.711383
  1800 |     1 |      160.677457 |        0.019888 |        0.020156 |     1.346770
  1900 |     1 |      149.286827 |        0.023900 |        0.024148 |     1.038087
  2000 |     1 |      148.666073 |        0.026424 |        0.026928 |     1.907474
  2100 |     1 |      156.804913 |        0.027780 |        0.028100 |     1.151236
  2200 |     1 |      164.302612 |        0.029176 |        0.029432 |     0.877820
  2300 |     1 |      166.260874 |        0.031556 |        0.031800 |     0.772654
  2400 |     1 |      167.882218 |        0.033988 |        0.034316 |     0.965628
  2500 |     1 |      172.614031 |        0.035856 |        0.036140 |     0.792204
  2600 |     1 |      176.114926 |        0.037964 |        0.038428 |     1.222163
  2700 |     1 |      177.082829 |        0.040724 |        0.041164 |     1.080330
  2800 |     1 |      179.036809 |        0.043376 |        0.043728 |     0.811598
  2900 |     1 |      181.981075 |        0.045908 |        0.046152 |     0.531917
  3000 |     1 |      185.883140 |        0.048080 |        0.048344 |     0.548950
   500 |     2 |       58.255402 |        0.012500 |        0.012884 |     3.072613
   600 |     2 |       75.781963 |        0.014000 |        0.014252 |     1.800112
   700 |     2 |      104.028427 |        0.014024 |        0.014116 |     0.657449
   800 |     2 |      122.327497 |        0.015184 |        0.015680 |     3.266723
   900 |     2 |      135.684001 |        0.017404 |        0.017880 |     2.735504
  1000 |     2 |      166.522780 |        0.017752 |        0.018032 |     1.577026
  1100 |     2 |      204.172677 |        0.017620 |        0.017808 |     1.067687
  1200 |     2 |      236.330265 |        0.017940 |        0.018460 |     2.898852
  1300 |     2 |      225.797853 |        0.022212 |        0.022456 |     1.099371
  1400 |     2 |      249.678018 |        0.023364 |        0.023552 |     0.804401
  1500 |     2 |      284.335092 |        0.023560 |        0.023700 |     0.593732
  1600 |     2 |      304.588251 |        0.025028 |        0.025180 |     0.607283
  1700 |     2 |      328.629137 |        0.026092 |        0.026356 |     1.011558
  1800 |     2 |      329.937268 |        0.029208 |        0.029428 |     0.753141
  1900 |     2 |      329.527393 |        0.032368 |        0.032864 |     1.532441
  2000 |     2 |      348.806342 |        0.034176 |        0.034388 |     0.620224
  2100 |     2 |      371.409010 |        0.035256 |        0.035648 |     1.112109
  2200 |     2 |      390.490681 |        0.036904 |        0.037120 |     0.584975
  2300 |     2 |      403.276382 |        0.039068 |        0.039300 |     0.594052
  2400 |     2 |      401.508642 |        0.042416 |        0.042984 |     1.338925
  2500 |     2 |      418.304607 |        0.044536 |        0.044824 |     0.646165
  2600 |     2 |      430.535012 |        0.046724 |        0.047036 |     0.667331
  2700 |     2 |      433.236045 |        0.050148 |        0.050472 |     0.645914
  2800 |     2 |      444.443623 |        0.052616 |        0.052844 |     0.433657
  2900 |     2 |      450.536215 |        0.055528 |        0.056012 |     0.871473
  3000 |     2 |      458.323309 |        0.058356 |        0.058868 |     0.877120
   500 |     3 |       97.341351 |        0.012532 |        0.012852 |     2.553470
   600 |     3 |      125.114888 |        0.014276 |        0.014360 |     0.587122
   700 |     3 |      171.935725 |        0.014096 |        0.014184 |     0.625025
   800 |     3 |      207.249788 |        0.015240 |        0.015376 |     0.890980
   900 |     3 |      230.129019 |        0.017368 |        0.017616 |     1.428510
  1000 |     3 |      275.296441 |        0.017908 |        0.018104 |     1.095244
  1100 |     3 |      339.570857 |        0.017556 |        0.017780 |     1.276338
  1200 |     3 |      390.680984 |        0.018192 |        0.018508 |     1.736495
  1300 |     3 |      374.117965 |        0.022380 |        0.022556 |     0.786504
  1400 |     3 |      408.998004 |        0.023736 |        0.023956 |     0.925977
  1500 |     3 |      471.742176 |        0.023700 |        0.023804 |     0.439331
  1600 |     3 |      508.481079 |        0.024920 |        0.025108 |     0.754920
  1700 |     3 |      545.571540 |        0.026216 |        0.026464 |     0.945668
  1800 |     3 |      548.362405 |        0.029292 |        0.029532 |     0.819656
  1900 |     3 |      543.292828 |        0.032848 |        0.033192 |     1.047337
  2000 |     3 |      578.349985 |        0.034264 |        0.034524 |     0.758338
  2100 |     3 |      615.311682 |        0.035536 |        0.035784 |     0.697648
  2200 |     3 |      647.876729 |        0.037040 |        0.037364 |     0.874493
  2300 |     3 |      669.678803 |        0.039204 |        0.039484 |     0.714096
  2400 |     3 |      669.117693 |        0.042712 |        0.043000 |     0.674199
  2500 |     3 |      692.191534 |        0.044836 |        0.045160 |     0.722437
  2600 |     3 |      715.066465 |        0.046948 |        0.047204 |     0.545522
  2700 |     3 |      715.288113 |        0.050576 |        0.050956 |     0.751301
  2800 |     3 |      736.635844 |        0.052872 |        0.053152 |     0.529494
  2900 |     3 |      744.528769 |        0.055992 |        0.056504 |     0.914486
  3000 |     3 |      758.307182 |        0.058916 |        0.059344 |     0.726516
   500 |     4 |      133.230447 |        0.012996 |        0.013116 |     0.923006
   600 |     4 |      177.688045 |        0.013988 |        0.014172 |     1.314283
   700 |     4 |      233.255381 |        0.014376 |        0.014688 |     2.170223
   800 |     4 |      286.491069 |        0.015396 |        0.015624 |     1.482028
   900 |     4 |      321.118456 |        0.017364 |        0.017652 |     1.659479
  1000 |     4 |      382.496740 |        0.018104 |        0.018300 |     1.082349
  1100 |     4 |      471.116005 |        0.017872 |        0.017940 |     0.381449
  1200 |     4 |      545.914800 |        0.018216 |        0.018528 |     1.712731
  1300 |     4 |      523.719003 |        0.022156 |        0.022732 |     2.599411
  1400 |     4 |      575.912634 |        0.023632 |        0.023804 |     0.727493
  1500 |     4 |      652.798243 |        0.023888 |        0.024048 |     0.670576
  1600 |     4 |      714.275785 |        0.024832 |        0.025012 |     0.726094
  1700 |     4 |      763.213146 |        0.026268 |        0.026472 |     0.776453
  1800 |     4 |      763.358975 |        0.029464 |        0.029672 |     0.706140
  1900 |     4 |      760.886189 |        0.032888 |        0.033140 |     0.766281
  2000 |     4 |      805.291570 |        0.034536 |        0.034748 |     0.614301
  2100 |     4 |      860.965739 |        0.035492 |        0.035856 |     1.025469
  2200 |     4 |      902.879839 |        0.037276 |        0.037500 |     0.600622
  2300 |     4 |      934.886470 |        0.039308 |        0.039604 |     0.752959
  2400 |     4 |      937.889248 |        0.042668 |        0.042936 |     0.628184
  2500 |     4 |      967.031044 |        0.044776 |        0.045224 |     1.000458
  2600 |     4 |      999.562536 |        0.047028 |        0.047316 |     0.612323
  2700 |     4 |      998.959048 |        0.050724 |        0.051076 |     0.694026
  2800 |     4 |     1028.759726 |        0.053016 |        0.053320 |     0.573378
  2900 |     4 |     1037.735520 |        0.056244 |        0.056732 |     0.867667
  3000 |     4 |     1056.319977 |        0.059304 |        0.059632 |     0.552785
   500 |     5 |      176.458709 |        0.012516 |        0.012768 |     2.013543
   600 |     5 |      225.116089 |        0.014224 |        0.014384 |     1.124861
   700 |     5 |      311.483511 |        0.013872 |        0.014124 |     1.819427
   800 |     5 |      376.274416 |        0.015056 |        0.015332 |     1.833432
   900 |     5 |      412.398856 |        0.017408 |        0.017672 |     1.516173
  1000 |     5 |      499.180127 |        0.017664 |        0.018020 |     2.016176
  1100 |     5 |      611.332484 |        0.017688 |        0.017804 |     0.654992
  1200 |     5 |      702.496030 |        0.018152 |        0.018520 |     2.027644
  1300 |     5 |      670.319885 |        0.022432 |        0.022680 |     1.106027
  1400 |     5 |      739.590330 |        0.023652 |        0.023820 |     0.710337
  1500 |     5 |      834.207823 |        0.024116 |        0.024232 |     0.480409
  1600 |     5 |      908.680785 |        0.025072 |        0.025336 |     1.052710
  1700 |     5 |      972.989045 |        0.026456 |        0.026684 |     0.861759
  1800 |     5 |      982.840863 |        0.029400 |        0.029652 |     0.857831
  1900 |     5 |      975.710803 |        0.032852 |        0.033264 |     1.254727
  2000 |     5 |     1026.203222 |        0.034768 |        0.035068 |     0.863071
  2100 |     5 |     1092.275279 |        0.035964 |        0.036316 |     0.978864
  2200 |     5 |     1156.436357 |        0.037464 |        0.037692 |     0.608550
  2300 |     5 |     1192.156099 |        0.039472 |        0.039904 |     1.094307
  2400 |     5 |     1196.470867 |        0.042888 |        0.043280 |     0.913770
  2500 |     5 |     1239.136408 |        0.045020 |        0.045400 |     0.843604
  2600 |     5 |     1276.119130 |        0.047268 |        0.047676 |     0.862986
  2700 |     5 |     1281.581122 |        0.050920 |        0.051136 |     0.424324
  2800 |     5 |     1317.529078 |        0.053168 |        0.053568 |     0.752159
  2900 |     5 |     1333.455478 |        0.056340 |        0.056768 |     0.759735
  3000 |     5 |     1351.529491 |        0.059488 |        0.059944 |     0.766497
   500 |     6 |      208.603639 |        0.013044 |        0.013168 |     0.949593
   600 |     6 |      276.993631 |        0.013940 |        0.014300 |     2.582843
   700 |     6 |      375.280869 |        0.014064 |        0.014368 |     2.162771
   800 |     6 |      453.437044 |        0.015384 |        0.015536 |     0.987989
   900 |     6 |      492.078112 |        0.017972 |        0.018080 |     0.601117
  1000 |     6 |      603.643122 |        0.017752 |        0.018236 |     2.725956
  1100 |     6 |      739.325488 |        0.017808 |        0.017976 |     0.944501
  1200 |     6 |      850.090012 |        0.018292 |        0.018720 |     2.340003
  1300 |     6 |      815.118396 |        0.022372 |        0.022832 |     2.056465
  1400 |     6 |      898.535396 |        0.023740 |        0.024008 |     1.129828
  1500 |     6 |     1016.804560 |        0.024172 |        0.024292 |     0.496251
  1600 |     6 |     1104.862542 |        0.025232 |        0.025468 |     0.936049
  1700 |     6 |     1188.164548 |        0.026544 |        0.026716 |     0.647683
  1800 |     6 |     1197.797814 |        0.029388 |        0.029728 |     1.156062
  1900 |     6 |     1187.385872 |        0.033160 |        0.033448 |     0.868969
  2000 |     6 |     1252.954921 |        0.034904 |        0.035116 |     0.607290
  2100 |     6 |     1339.198958 |        0.035964 |        0.036244 |     0.778430
  2200 |     6 |     1403.655965 |        0.037688 |        0.037920 |     0.615804
  2300 |     6 |     1455.178259 |        0.039564 |        0.040008 |     1.121892
  2400 |     6 |     1460.141612 |        0.043028 |        0.043384 |     0.827251
  2500 |     6 |     1512.441006 |        0.045076 |        0.045464 |     0.860740
  2600 |     6 |     1556.948428 |        0.047400 |        0.047724 |     0.683753
  2700 |     6 |     1557.030565 |        0.051144 |        0.051528 |     0.750604
  2800 |     6 |     1602.211819 |        0.053404 |        0.053852 |     0.839521
  2900 |     6 |     1645.729029 |        0.055704 |        0.056212 |     0.911857
  3000 |     6 |     1650.926816 |        0.059332 |        0.059996 |     1.119176
   500 |     7 |      246.469401 |        0.013064 |        0.013168 |     0.795574
   600 |     7 |      323.837059 |        0.014296 |        0.014452 |     1.091842
   700 |     7 |      441.469723 |        0.014164 |        0.014428 |     1.864759
   800 |     7 |      531.235701 |        0.015292 |        0.015720 |     2.797842
   900 |     7 |      586.908480 |        0.017672 |        0.017940 |     1.515647
  1000 |     7 |      715.157170 |        0.017768 |        0.018180 |     2.319925
  1100 |     7 |      872.092080 |        0.017852 |        0.018040 |     1.053818
  1200 |     7 |     1013.389576 |        0.018060 |        0.018544 |     2.680514
  1300 |     7 |      960.021610 |        0.022620 |        0.022832 |     0.937904
  1400 |     7 |     1060.705171 |        0.023808 |        0.023996 |     0.789397
  1500 |     7 |     1197.742704 |        0.024148 |        0.024388 |     0.994261
  1600 |     7 |     1302.234294 |        0.025340 |        0.025500 |     0.631413
  1700 |     7 |     1402.524907 |        0.026532 |        0.026708 |     0.662717
  1800 |     7 |     1409.692874 |        0.029644 |        0.029836 |     0.648445
  1900 |     7 |     1397.607451 |        0.033176 |        0.033580 |     1.218328
  2000 |     7 |     1472.526926 |        0.035032 |        0.035272 |     0.685358
  2100 |     7 |     1574.193005 |        0.036148 |        0.036424 |     0.763646
  2200 |     7 |     1663.608497 |        0.037524 |        0.037852 |     0.874136
  2300 |     7 |     1710.190083 |        0.039860 |        0.040184 |     0.813096
  2400 |     7 |     1719.276858 |        0.043024 |        0.043544 |     1.208742
  2500 |     7 |     1773.252655 |        0.045360 |        0.045836 |     1.049580
  2600 |     7 |     1829.986959 |        0.047748 |        0.048008 |     0.544574
  2700 |     7 |     1831.693304 |        0.051248 |        0.051724 |     0.928628
  2800 |     7 |     1890.754757 |        0.053356 |        0.053900 |     1.019357
  2900 |     7 |     1937.539818 |        0.055820 |        0.056396 |     1.031757
