   m   |   k   |    GFLOPS/S     |   minimum (ms)   |   median (ms)   |   stability (%)
   500 |     1 |       26.194380 |        0.009428 |        0.009548 |     1.272325
   600 |     1 |       37.112044 |        0.009500 |        0.009640 |     1.474423
   700 |     1 |       48.121092 |        0.010036 |        0.010180 |     1.434643
   800 |     1 |       64.564138 |        0.009852 |        0.009908 |     0.567183
   900 |     1 |       74.516221 |        0.010780 |        0.010860 |     0.742993
  1000 |     1 |       74.848614 |        0.013240 |        0.013340 |     0.755466
  1100 |     1 |       86.902711 |        0.013764 |        0.013928 |     1.190879
  1200 |     1 |       99.555629 |        0.014376 |        0.014464 |     0.612853
  1300 |     1 |      101.255641 |        0.016492 |        0.016660 |     1.017608
  1400 |     1 |      117.265014 |        0.016544 |        0.016696 |     0.917576
  1500 |     1 |      126.378641 |        0.017656 |        0.017780 |     0.701551
  1600 |     1 |      143.013542 |        0.017736 |        0.017892 |     0.879017
  1700 |     1 |      145.184644 |        0.019664 |        0.019880 |     1.098797
  1800 |     1 |      161.555797 |        0.019828 |        0.020036 |     1.049309
  1900 |     1 |      166.539365 |        0.021384 |        0.021716 |     1.552197
  2000 |     1 |      182.508429 |        0.021760 |        0.021904 |     0.662541
  2100 |     1 |      196.078312 |        0.022224 |        0.022468 |     1.097934
  2200 |     1 |      212.367077 |        0.022440 |        0.022764 |     1.443465
  2300 |     1 |      219.374542 |        0.023868 |        0.024064 |     0.820977
  2400 |     1 |      233.389097 |        0.024444 |        0.024652 |     0.851158
  2500 |     1 |      232.490686 |        0.026556 |        0.026828 |     1.024044
  2600 |     1 |      244.583766 |        0.027308 |        0.027596 |     1.055195
  2700 |     1 |      236.126413 |        0.030608 |        0.030852 |     0.797809
  2800 |     1 |      254.308621 |        0.030672 |        0.030812 |     0.456674
  2900 |     1 |      261.231809 |        0.031968 |        0.032184 |     0.675298
  3000 |     1 |      274.681417 |        0.032424 |        0.032784 |     1.110441
   500 |     2 |       64.788828 |        0.011488 |        0.011560 |     0.627473
   600 |     2 |       93.024982 |        0.011520 |        0.011600 |     0.695264
   700 |     2 |      114.938329 |        0.012512 |        0.012800 |     2.301520
   800 |     2 |      152.849410 |        0.012492 |        0.012556 |     0.511437
   900 |     2 |      177.298768 |        0.013588 |        0.013696 |     0.795065
  1000 |     2 |      219.649212 |        0.013504 |        0.013660 |     1.154499
  1100 |     2 |      262.167592 |        0.013676 |        0.013828 |     1.112746
  1200 |     2 |      296.892217 |        0.014392 |        0.014524 |     0.916303
  1300 |     2 |      303.256233 |        0.016608 |        0.016720 |     0.674039
  1400 |     2 |      352.649499 |        0.016556 |        0.016656 |     0.604158
  1500 |     2 |      381.553881 |        0.017508 |        0.017668 |     0.913878
  1600 |     2 |      417.768872 |        0.018208 |        0.018380 |     0.944207
  1700 |     2 |      453.234030 |        0.018928 |        0.019104 |     0.929944
  1800 |     2 |      432.839354 |        0.022272 |        0.022464 |     0.862242
  1900 |     2 |      459.826310 |        0.023260 |        0.023620 |     1.548736
  2000 |     2 |      510.370453 |        0.023312 |        0.023496 |     0.789421
  2100 |     2 |      542.891853 |        0.024068 |        0.024316 |     1.030074
  2200 |     2 |      605.832749 |        0.023676 |        0.023916 |     1.013296
  2300 |     2 |      636.879224 |        0.024592 |        0.024892 |     1.219438
