   m   |   k   |    GFLOPS/S     |   minimum (ms)   |   median (ms)   |   stability (%)
   500 |     1 |        0.540450 |        0.459790 |        0.461602 |     0.394089
   600 |     1 |        0.704113 |        0.490785 |        0.500298 |     1.938305
   700 |     1 |        0.490755 |        0.958014 |        0.999689 |     4.350206
   800 |     1 |        0.640604 |        0.979805 |        0.999999 |     2.061028
   900 |     1 |        0.812342 |        0.932908 |        0.999904 |     7.181375
  1000 |     1 |        0.973798 |        0.961709 |        1.001120 |     4.097975
  1100 |     1 |        0.959905 |        1.242399 |        1.253891 |     0.924966
  1200 |     1 |        1.077444 |        1.326203 |        1.332903 |     0.505169
  1300 |     1 |        1.112656 |        1.498699 |        1.518893 |     1.347439
  1400 |     1 |        1.140119 |        1.698899 |        1.708412 |     0.559945
  1500 |     1 |        1.126270 |        1.913881 |        1.999998 |     4.499589
  1600 |     1 |        1.179507 |        2.130818 |        2.158093 |     1.280029
  1700 |     1 |        1.275825 |        2.222800 |        2.256608 |     1.520953
  1800 |     1 |        1.260885 |        2.527905 |        2.569699 |     1.653337
  1900 |     1 |        1.274852 |        2.500105 |        2.875209 |    15.003529
  2000 |     1 |        1.261090 |        3.015614 |        3.180814 |     5.478163
  2100 |     1 |        1.218759 |        3.422022 |        3.641582 |     6.416080
  2200 |     1 |        1.303111 |        3.564405 |        3.676200 |     3.136413
  2300 |     1 |        1.323104 |        3.921986 |        3.982401 |     1.540426
  2400 |     1 |        1.293049 |        4.306006 |        4.480195 |     4.045248
  2500 |     1 |        1.250353 |        4.875112 |        5.005789 |     2.680497
  2600 |     1 |        1.353637 |        4.918504 |        4.978013 |     1.209906
  2700 |     1 |        1.387928 |        5.069685 |        5.222511 |     3.014513
  2800 |     1 |        1.325841 |        5.614185 |        5.926204 |     5.557679
  2900 |     1 |        1.410323 |        5.830717 |        5.973911 |     2.455859
  3000 |     1 |        1.381278 |        6.166410 |        6.500793 |     5.422637
   500 |     2 |        1.632578 |        0.457215 |        0.458694 |     0.323304
   600 |     2 |        2.045766 |        0.500703 |        0.534081 |     6.666349
   700 |     2 |        1.471119 |        0.961018 |        0.999999 |     4.056267
   800 |     2 |        1.925943 |        0.947118 |        0.999999 |     5.583386
   900 |     2 |        2.429420 |        0.979590 |        0.999999 |     2.083384
  1000 |     2 |        2.882774 |        1.013899 |        1.027703 |     1.361520
  1100 |     2 |        2.842524 |        1.242089 |        1.256299 |     1.144020
  1200 |     2 |        3.173881 |        1.320004 |        1.339698 |     1.491917
  1300 |     2 |        3.112338 |        1.593494 |        1.602292 |     0.552098
  1400 |     2 |        3.229899 |        1.794291 |        1.819205 |     1.388557
  1500 |     2 |        3.374694 |        1.954293 |        1.999998 |     2.338689
  1600 |     2 |        3.309057 |        2.161598 |        2.321696 |     7.406468
  1700 |     2 |        3.600898 |        2.330399 |        2.394819 |     2.764364
  1800 |     2 |        3.656323 |        2.443504 |        2.669883 |     9.264500
  1900 |     2 |        3.770489 |        2.652717 |        2.898192 |     9.253750
  2000 |     2 |        3.892439 |        3.032207 |        3.075409 |     1.424752
  2100 |     2 |        3.567902 |        3.484392 |        3.733397 |     7.146278
  2200 |     2 |        3.816572 |        3.572607 |        3.804302 |     6.485325
  2300 |     2 |        3.968865 |        3.954196 |        3.988409 |     0.865234
  2400 |     2 |        3.913476 |        4.131389 |        4.435992 |     7.372910
  2500 |     2 |        3.777322 |        4.802299 |        4.988599 |     3.879398
  2600 |     2 |        3.997244 |        4.934812 |        5.039406 |     2.119518
  2700 |     2 |        4.019759 |        5.056000 |        5.486202 |     8.508752
  2800 |     2 |        3.954900 |        5.825400 |        5.956101 |     2.243641
  2900 |     2 |        4.231605 |        5.738807 |        5.992413 |     4.419139
  3000 |     2 |        4.162595 |        6.331611 |        6.490302 |     2.506335
   500 |     3 |        2.810985 |        0.442696 |        0.443912 |     0.274666
   600 |     3 |        3.432196 |        0.498986 |        0.503206 |     0.845716
   700 |     3 |        2.453680 |        0.961590 |        0.999784 |     3.972032
   800 |     3 |        3.205672 |        0.942802 |        1.000094 |     6.076775
   900 |     3 |        4.060613 |        0.932503 |        0.999999 |     7.238188
  1000 |     3 |        4.469537 |        1.033092 |        1.102901 |     6.757287
  1100 |     3 |        5.017291 |        1.193595 |        1.200819 |     0.605237
  1200 |     3 |        5.320691 |        1.330185 |        1.334190 |     0.301118
  1300 |     3 |        5.240614 |        1.569200 |        1.602507 |     2.122552
  1400 |     3 |        5.399050 |        1.690197 |        1.803803 |     6.721492
  1500 |     3 |        5.626573 |        1.977205 |        1.999807 |     1.143133
  1600 |     3 |        5.898761 |        2.006102 |        2.170205 |     8.180219
  1700 |     3 |        6.188803 |        2.313685 |        2.332687 |     0.821285
  1800 |     3 |        5.965965 |        2.570510 |        2.715206 |     5.629087
