   m   |   k   |    GFLOPS/S     |   minimum (ms)   |   median (ms)   |   stability (%)
   500 |     1 |        0.540503 |        0.459886 |        0.462008 |     0.461403
   600 |     1 |        0.665874 |        0.494003 |        0.547099 |    10.748070
   700 |     1 |        0.490148 |        0.972104 |        1.000094 |     2.879356
   800 |     1 |        0.640601 |        0.951791 |        0.999999 |     5.065003
   900 |     1 |        0.810960 |        0.938582 |        0.999904 |     6.533391
  1000 |     1 |        1.000196 |        0.983882 |        0.999904 |     1.628420
  1100 |     1 |        0.967015 |        1.195693 |        1.243210 |     3.973999
  1200 |     1 |        1.062523 |        1.324010 |        1.338005 |     1.057029
  1300 |     1 |        1.127324 |        1.461506 |        1.499891 |     2.626427
  1400 |     1 |        1.094556 |        1.728296 |        1.791096 |     3.633605
  1500 |     1 |        1.127710 |        1.911187 |        1.999903 |     4.641908
  1600 |     1 |        1.172077 |        2.129006 |        2.172685 |     2.051581
  1700 |     1 |        1.236922 |        2.176213 |        2.336502 |     7.365492
  1800 |     1 |        1.319722 |        2.363801 |        2.452803 |     3.765193
  1900 |     1 |        1.200110 |        2.972889 |        3.002787 |     1.005678
  2000 |     1 |        1.330938 |        2.969289 |        3.000808 |     1.061498
  2100 |     1 |        1.275267 |        3.290606 |        3.393006 |     3.111913
  2200 |     1 |        1.247229 |        3.514409 |        3.989506 |    13.518538
  2300 |     1 |        1.314903 |        3.848696 |        3.997111 |     3.856256
  2400 |     1 |        1.393814 |        3.946590 |        4.132605 |     4.713288
  2500 |     1 |        1.297731 |        4.624796 |        4.805183 |     3.900442
  2600 |     1 |        1.336962 |        4.947996 |        5.036902 |     1.796814
  2700 |     1 |        1.345673 |        5.250692 |        5.449915 |     3.794215
  2800 |     1 |        1.348520 |        5.539918 |        5.819297 |     5.043015
  2900 |     1 |        1.400406 |        5.872703 |        5.982304 |     1.866279
  3000 |     1 |        1.412386 |        6.073618 |        6.371999 |     4.912736
   500 |     2 |        1.617829 |        0.460911 |        0.462294 |     0.300021
   600 |     2 |        2.042595 |        0.498605 |        0.519085 |     4.107493
   700 |     2 |        1.471717 |        0.982690 |        0.999904 |     1.751704
   800 |     2 |        1.922468 |        0.948095 |        0.999808 |     5.454408
   900 |     2 |        2.437217 |        0.922108 |        0.999713 |     8.416072
  1000 |     2 |        2.919262 |        1.007318 |        1.024103 |     1.666272
  1100 |     2 |        2.905955 |        1.214695 |        1.253486 |     3.193452
  1200 |     2 |        3.022692 |        1.395798 |        1.431584 |     2.563884
  1300 |     2 |        3.339904 |        1.494598 |        1.509500 |     0.997001
  1400 |     2 |        3.252263 |        1.775789 |        1.801991 |     1.475524
  1500 |     2 |        3.342432 |        1.987600 |        1.999998 |     0.623756
