   m   |   k   |    GFLOPS/S     |   minimum (ms)   |   median (ms)   |   stability (%)
   500 |     1 |        1.283819 |        0.188708 |        0.190806 |     1.111813
   600 |     1 |        1.011981 |        0.352907 |        0.354719 |     0.513444
   700 |     1 |        1.110036 |        0.438786 |        0.440407 |     0.369485
   800 |     1 |        1.246570 |        0.489402 |        0.500202 |     2.206850
   900 |     1 |        1.211689 |        0.642705 |        0.656199 |     2.099640
  1000 |     1 |        1.000173 |        0.979114 |        0.999904 |     2.123359
  1100 |     1 |        1.209204 |        0.986600 |        0.999999 |     1.358111
  1200 |     1 |        1.439678 |        0.984216 |        0.999784 |     1.581841
  1300 |     1 |        1.689220 |        0.990891 |        0.999999 |     0.919131
  1400 |     1 |        1.962466 |        0.980210 |        0.999904 |     2.009097
  1500 |     1 |        2.244652 |        0.983191 |        0.999904 |     1.699888
  1600 |     1 |        2.172269 |        1.137400 |        1.180291 |     3.771014
  1700 |     1 |        2.168833 |        1.266098 |        1.322699 |     4.470473
  1800 |     1 |        2.297110 |        1.392603 |        1.401711 |     0.653998
  1900 |     1 |        2.160909 |        1.551294 |        1.658487 |     6.909907
  2000 |     1 |        2.012449 |        1.659012 |        1.999998 |    20.553576
  2100 |     1 |        2.187492 |        1.962113 |        2.000213 |     1.941748
  2200 |     1 |        2.276346 |        1.991701 |        2.129984 |     6.942948
  2300 |     1 |        2.351223 |        2.072811 |        2.254391 |     8.760064
  2400 |     1 |        2.391169 |        2.368808 |        2.403212 |     1.452368
  2500 |     1 |        2.264076 |        2.647901 |        2.745199 |     3.674557
  2600 |     1 |        2.332877 |        2.738500 |        2.889204 |     5.503173
  2700 |     1 |        2.547290 |        2.667618 |        2.854204 |     6.994494
  2800 |     1 |        2.458404 |        3.131104 |        3.177714 |     1.488639
  2900 |     1 |        2.734193 |        2.964401 |        3.054810 |     3.049801
  3000 |     1 |        2.642219 |        3.231096 |        3.433394 |     6.260976
   500 |     2 |        3.777741 |        0.189495 |        0.191689 |     1.157524
   600 |     2 |        2.890561 |        0.367785 |        0.370407 |     0.713082
   700 |     2 |        3.349985 |        0.436115 |        0.437999 |     0.431883
   800 |     2 |        3.730653 |        0.492096 |        0.500083 |     1.623062
   900 |     2 |        3.495745 |        0.650382 |        0.699592 |     7.566260
  1000 |     2 |        2.999521 |        0.987411 |        1.000094 |     1.284559
  1100 |     2 |        3.631274 |        0.990701 |        0.999999 |     0.938560
  1200 |     2 |        4.323062 |        0.972605 |        0.999880 |     2.804334
  1300 |     2 |        5.073802 |        0.979114 |        0.999999 |     2.133100
  1400 |     2 |        5.592213 |        1.001596 |        1.039481 |     3.782433
  1500 |     2 |        5.796278 |        1.102400 |        1.144981 |     3.862624
  1600 |     2 |        5.674611 |        1.326108 |        1.334000 |     0.595099
  1700 |     2 |        6.431162 |        1.329899 |        1.334500 |     0.346002
  1800 |     2 |        6.484913 |        1.479316 |        1.499605 |     1.371541
  1900 |     2 |        6.148114 |        1.659203 |        1.763511 |     6.286642
  2000 |     2 |        5.987382 |        1.908517 |        2.000093 |     4.798311
  2100 |     2 |        6.555421 |        1.989913 |        2.000189 |     0.516396
  2200 |     2 |        6.817779 |        1.996899 |        2.122593 |     6.294475
  2300 |     2 |        7.057684 |        2.003980 |        2.253199 |    12.436201
  2400 |     2 |        6.922409 |        2.349997 |        2.499890 |     6.378467
  2500 |     2 |        6.979161 |        2.412581 |        2.696991 |    11.788598
  2600 |     2 |        7.188592 |        2.670598 |        2.812481 |     5.312776
  2700 |     2 |        7.255559 |        2.925706 |        3.001308 |     2.584078
  2800 |     2 |        7.443580 |        3.047705 |        3.157210 |     3.593053
  2900 |     2 |        7.970518 |        3.019190 |        3.180504 |     5.342957
  3000 |     2 |        7.802223 |        3.127599 |        3.506994 |    12.130568
   500 |     3 |        6.078374 |        0.199199 |        0.202799 |     1.807301
   600 |     3 |        4.896019 |        0.365615 |        0.366688 |     0.293446
   700 |     3 |        5.597214 |        0.434899 |        0.437903 |     0.690752
   800 |     3 |        6.300150 |        0.493002 |        0.500083 |     1.436309
   900 |     3 |        6.040093 |        0.651407 |        0.658107 |     1.028475
  1000 |     3 |        5.002046 |        0.973201 |        0.999904 |     2.743820
  1100 |     3 |        6.067747 |        0.911593 |        0.999808 |     9.676997
  1200 |     3 |        7.197515 |        0.945091 |        1.000285 |     5.840061
  1300 |     3 |        8.456556 |        0.980496 |        0.999808 |     1.969605
  1400 |     3 |        9.772677 |        0.979185 |        1.000094 |     2.135379
  1500 |     3 |       10.198774 |        1.072598 |        1.101780 |     2.720726
  1600 |     3 |        9.569301 |        1.326919 |        1.331997 |     0.382715
  1700 |     3 |       10.818356 |        1.320100 |        1.329708 |     0.727844
  1800 |     3 |       10.815709 |        1.402020 |        1.500010 |     6.989202
  1900 |     3 |       10.221987 |        1.727295 |        1.761699 |     1.991773
  2000 |     3 |       10.039125 |        1.790905 |        1.999998 |    11.675276
  2100 |     3 |       10.985660 |        1.988506 |        1.999903 |     0.573114
  2200 |     3 |       11.518722 |        1.952195 |        2.122593 |     8.728520
  2300 |     3 |       11.556516 |        2.209592 |        2.272820 |     2.861552
  2400 |     3 |       11.738981 |        2.371907 |        2.449703 |     3.279891
  2500 |     3 |       11.591087 |        2.541399 |        2.681398 |     5.508753
  2600 |     3 |       12.281449 |        2.733493 |        2.749586 |     0.588743
  2700 |     3 |       12.180192 |        2.757788 |        2.999783 |     8.774963
  2800 |     3 |       12.710777 |        2.969408 |        3.075600 |     3.576189
  2900 |     3 |       13.086055 |        3.017497 |        3.291011 |     9.064260
