   m   |   k   |    GFLOPS/S     |   minimum (ms)   |   median (ms)   |   stability (%)
   500 |     1 |       11.209516 |        0.020885 |        0.022101 |     5.821918
   600 |     1 |       15.715741 |        0.021982 |        0.022912 |     4.229935
   700 |     1 |       18.188984 |        0.023389 |        0.026798 |    14.576962
   800 |     1 |       22.768409 |        0.024796 |        0.029898 |    20.576923
   900 |     1 |       26.995851 |        0.027299 |        0.030208 |    10.655022
  1000 |     1 |       29.653703 |        0.030780 |        0.032783 |     6.506584
  1100 |     1 |       34.855084 |        0.032306 |        0.034809 |     7.749077
  1200 |     1 |       37.540554 |        0.036597 |        0.037408 |     2.214984
  1300 |     1 |       42.284918 |        0.039697 |        0.039911 |     0.540541
  1400 |     1 |       39.468100 |        0.042319 |        0.050306 |    18.873240
  1500 |     1 |       43.761171 |        0.049806 |        0.050998 |     2.393490
  1600 |     1 |       47.731539 |        0.052285 |        0.052977 |     1.322389
  1700 |     1 |       50.281272 |        0.055814 |        0.057411 |     2.862025
  1800 |     1 |       53.430221 |        0.059390 |        0.060606 |     2.047370
  1900 |     1 |       55.681269 |        0.063181 |        0.064492 |     2.075472
  2000 |     1 |       58.580421 |        0.066900 |        0.068212 |     1.960086
  2100 |     1 |       59.340638 |        0.073290 |        0.073504 |     0.292778
  2200 |     1 |       61.852580 |        0.075793 |        0.077891 |     2.768166
  2300 |     1 |       64.364873 |        0.081301 |        0.082207 |     1.114370
  2400 |     1 |       65.644266 |        0.085998 |        0.086808 |     0.942612
  2500 |     1 |       67.258409 |        0.091600 |        0.093007 |     1.535658
  2600 |     1 |       67.930766 |        0.097895 |        0.098991 |     1.120312
  2700 |     1 |       70.075669 |        0.103092 |        0.103593 |     0.485661
  2800 |     1 |       71.458674 |        0.107813 |        0.108910 |     1.017249
  2900 |     1 |       72.401618 |        0.113893 |        0.114989 |     0.962947
  3000 |     1 |       74.108517 |        0.119090 |        0.120807 |     1.441441
   500 |     2 |       33.199317 |        0.021005 |        0.022411 |     6.696935
   600 |     2 |       42.225591 |        0.022197 |        0.024414 |     9.989259
   700 |     2 |       52.556392 |        0.024414 |        0.027990 |    14.648438
   800 |     2 |       65.257789 |        0.025988 |        0.030088 |    15.779817
   900 |     2 |       75.701954 |        0.030494 |        0.032115 |     5.316654
  1000 |     2 |       86.110421 |        0.033998 |        0.034714 |     2.103787
  1100 |     2 |       85.884588 |        0.037503 |        0.042987 |    14.621742
  1200 |     2 |      105.062805 |        0.039887 |        0.040197 |     0.777047
  1300 |     2 |      101.107692 |        0.043297 |        0.050616 |    16.905287
  1400 |     2 |      112.312983 |        0.049806 |        0.050998 |     2.393490
  1500 |     2 |      118.578461 |        0.054002 |        0.054908 |     1.677704
  1600 |     2 |      130.603795 |        0.057483 |        0.058198 |     1.244297
  1700 |     2 |      136.833031 |        0.062299 |        0.063205 |     1.454267
  1800 |     2 |      143.700619 |        0.066304 |        0.067091 |     1.186624
  1900 |     2 |      151.025595 |        0.070882 |        0.071692 |     1.143626
  2000 |     2 |      156.835684 |        0.073814 |        0.076103 |     3.100775
  2100 |     2 |      160.740634 |        0.080609 |        0.082493 |     2.336587
  2200 |     2 |      165.790888 |        0.085306 |        0.087500 |     2.571269
  2300 |     2 |      169.747557 |        0.092196 |        0.092888 |     0.749935
  2400 |     2 |      173.883427 |        0.097609 |        0.098515 |     0.928188
  2500 |     2 |      177.706541 |        0.103402 |        0.105596 |     2.121282
  2600 |     2 |      181.233214 |        0.109601 |        0.111794 |     2.001305
  2700 |     2 |      182.910393 |        0.118184 |        0.118518 |     0.282429
  2800 |     2 |      186.801675 |        0.124598 |        0.124788 |     0.153081
  2900 |     2 |      189.895444 |        0.131011 |        0.131893 |     0.673339
  3000 |     2 |      194.012292 |        0.136805 |        0.138807 |     1.463925
   500 |     3 |       53.755017 |        0.021791 |        0.023293 |     6.892779
   600 |     3 |       72.518907 |        0.023484 |        0.024295 |     3.451777
   700 |     3 |       85.423486 |        0.024796 |        0.030112 |    21.442308
   800 |     3 |      104.360618 |        0.027299 |        0.030994 |    13.537118
   900 |     3 |      118.675463 |        0.033593 |        0.033903 |     0.922640
  1000 |     3 |      125.856329 |        0.036478 |        0.038695 |     6.078432
  1100 |     3 |      139.986438 |        0.039792 |        0.044203 |    11.084482
  1200 |     3 |      145.284612 |        0.042915 |        0.050402 |    17.444445
  1300 |     3 |      163.984365 |        0.050497 |        0.051212 |     1.416431
  1400 |     3 |      178.155093 |        0.053716 |        0.054789 |     1.997337
  1500 |     3 |      188.463505 |        0.058603 |        0.059199 |     1.017087
  1600 |     3 |      200.425493 |        0.062609 |        0.063419 |     1.294745
  1700 |     3 |      208.202929 |        0.067997 |        0.069308 |     1.928471
  1800 |     3 |      219.979995 |        0.072813 |        0.073600 |     1.080550
  1900 |     3 |      228.136649 |        0.078201 |        0.078988 |     1.006098
  2000 |     3 |      237.804108 |        0.083280 |        0.084090 |     0.973375
  2100 |     3 |      240.961021 |        0.089502 |        0.091410 |     2.131060
  2200 |     3 |      249.172081 |        0.095987 |        0.096989 |     1.043219
