   m   |   k   |    GFLOPS/S     |   minimum (ms)   |   median (ms)   |   stability (%)
   500 |     1 |       11.135158 |        0.020981 |        0.022411 |     6.818182
   600 |     1 |       15.642426 |        0.021887 |        0.022912 |     4.684096
   700 |     1 |       19.897168 |        0.023699 |        0.024199 |     2.112676
   800 |     1 |       22.409832 |        0.025201 |        0.030398 |    20.624409
   900 |     1 |       26.455690 |        0.027704 |        0.030708 |    10.843373
  1000 |     1 |       30.576266 |        0.029707 |        0.032711 |    10.112360
  1100 |     1 |       34.126145 |        0.034595 |        0.035191 |     1.722950
  1200 |     1 |       37.313728 |        0.037193 |        0.037789 |     1.602564
  1300 |     1 |       41.473146 |        0.037003 |        0.040102 |     8.376288
  1400 |     1 |       39.360448 |        0.043392 |        0.050282 |    15.879121
  1500 |     1 |       44.528322 |        0.047302 |        0.050497 |     6.754032
  1600 |     1 |       47.131102 |        0.052595 |        0.053620 |     1.949229
  1700 |     1 |       49.312134 |        0.056720 |        0.057507 |     1.387137
  1800 |     1 |       52.500347 |        0.060010 |        0.061297 |     2.145411
  1900 |     1 |       55.644659 |        0.063992 |        0.064421 |     0.670641
  2000 |     1 |       56.368237 |        0.067997 |        0.068808 |     1.192146
  2100 |     1 |       59.406881 |        0.071812 |        0.073600 |     2.490040
  2200 |     1 |       61.437714 |        0.077200 |        0.077987 |     1.019148
  2300 |     1 |       63.740500 |        0.080419 |        0.082588 |     2.697895
  2400 |     1 |       65.600592 |        0.086093 |        0.087094 |     1.163113
  2500 |     1 |       66.902425 |        0.091696 |        0.093007 |     1.430057
  2600 |     1 |       68.801776 |        0.096297 |        0.098205 |     1.980688
  2700 |     1 |       70.409171 |        0.102282 |        0.103498 |     1.188811
  2800 |     1 |       71.545841 |        0.107813 |        0.108886 |     0.995135
  2900 |     1 |       72.504039 |        0.114179 |        0.115180 |     0.877010
  3000 |     1 |       74.187688 |        0.119495 |        0.120497 |     0.837989
   500 |     2 |       32.784875 |        0.021219 |        0.022888 |     7.865169
   600 |     2 |       44.976139 |        0.022101 |        0.023580 |     6.688241
   700 |     2 |       54.325719 |        0.024581 |        0.026202 |     6.595538
   800 |     2 |       64.876650 |        0.026011 |        0.029993 |    15.307057
   900 |     2 |       74.969623 |        0.030494 |        0.032496 |     6.567631
  1000 |     2 |       87.253370 |        0.030398 |        0.034404 |    13.176471
  1100 |     2 |       85.576341 |        0.038004 |        0.042820 |    12.672522
  1200 |     2 |      107.046577 |        0.039887 |        0.040293 |     1.016139
  1300 |     2 |      101.138541 |        0.043011 |        0.050712 |    17.904655
  1400 |     2 |      115.469802 |        0.050187 |        0.050616 |     0.855107
  1500 |     2 |      123.683336 |        0.053620 |        0.054598 |     1.823032
  1600 |     2 |      130.315034 |        0.057912 |        0.059199 |     2.223137
  1700 |     2 |      135.432539 |        0.062299 |        0.063300 |     1.607348
  1800 |     2 |      143.138307 |        0.066686 |        0.067306 |     0.929567
  1900 |     2 |      150.662256 |        0.071001 |        0.071788 |     1.108126
  2000 |     2 |      157.536646 |        0.075388 |        0.076199 |     1.075269
  2100 |     2 |      159.776427 |        0.080395 |        0.082397 |     2.491103
  2200 |     2 |      166.207993 |        0.085783 |        0.087380 |     1.862146
  2300 |     2 |      169.288167 |        0.091290 |        0.092816 |     1.671455
  2400 |     2 |      174.729131 |        0.093603 |        0.098300 |     5.017830
  2500 |     2 |      176.530051 |        0.104403 |        0.105500 |     1.050468
  2600 |     2 |      180.052192 |        0.111389 |        0.111699 |     0.278253
  2700 |     2 |      183.471363 |        0.117302 |        0.118399 |     0.934959
  2800 |     2 |      186.310955 |        0.123620 |        0.124812 |     0.964320
  2900 |     2 |      190.016595 |        0.130606 |        0.132012 |     1.077035
  3000 |     2 |      192.683762 |        0.138307 |        0.139213 |     0.655059
   500 |     3 |       48.756044 |        0.022197 |        0.024891 |    12.137486
   600 |     3 |       63.810822 |        0.024104 |        0.030613 |    27.002968
   700 |     3 |       87.206084 |        0.025582 |        0.027490 |     7.455731
   800 |     3 |      101.492328 |        0.027704 |        0.031495 |    13.683305
   900 |     3 |      118.372037 |        0.031209 |        0.033998 |     8.938121
  1000 |     3 |      123.006326 |        0.036216 |        0.038409 |     6.056616
  1100 |     3 |      138.608252 |        0.039697 |        0.044084 |    11.051051
  1200 |     3 |      148.331110 |        0.043297 |        0.047898 |    10.627753
  1300 |     3 |      161.699912 |        0.050712 |        0.051594 |     1.739539
  1400 |     3 |      176.482765 |        0.054407 |        0.054884 |     0.876424
  1500 |     3 |      186.369340 |        0.058508 |        0.059509 |     1.711491
  1600 |     3 |      199.564615 |        0.062299 |        0.063300 |     1.607348
  1700 |     3 |      200.659279 |        0.068498 |        0.069904 |     2.053602
  1800 |     3 |      216.014715 |        0.073004 |        0.073910 |     1.241019
  1900 |     3 |      226.432251 |        0.078297 |        0.078893 |     0.761267
  2000 |     3 |      233.113502 |        0.084400 |        0.085306 |     1.073446
  2100 |     3 |      243.554314 |        0.089598 |        0.090194 |     0.665247
  2200 |     3 |      247.236849 |        0.096011 |        0.097203 |     1.241619
  2300 |     3 |      254.296179 |        0.102186 |        0.103307 |     1.096594
  2400 |     3 |      260.664784 |        0.108600 |        0.109601 |     0.922064
  2500 |     3 |      262.852269 |        0.117803 |        0.118279 |     0.404776
  2600 |     3 |      268.500387 |        0.123715 |        0.125194 |     1.194835
  2700 |     3 |      273.023725 |        0.132084 |        0.132608 |     0.397112
  2800 |     3 |      275.705003 |        0.139523 |        0.140500 |     0.700615
  2900 |     3 |      281.130151 |        0.147605 |        0.148606 |     0.678404
  3000 |     3 |      287.098341 |        0.155497 |        0.156212 |     0.459982
   500 |     4 |       71.948060 |        0.022292 |        0.023699 |     6.310161
   600 |     4 |       96.511186 |        0.023985 |        0.025392 |     5.864811
   700 |     4 |      108.853014 |        0.027204 |        0.030804 |    13.234005
   800 |     4 |      133.153590 |        0.031805 |        0.033307 |     4.722639
   900 |     4 |      153.831873 |        0.035095 |        0.035810 |     2.038043
  1000 |     4 |      165.945589 |        0.038791 |        0.043011 |    10.878919
  1100 |     4 |      168.980974 |        0.042415 |        0.050712 |    19.561552
  1200 |     4 |      197.594745 |        0.049710 |        0.050879 |     2.350120
  1300 |     4 |      217.405237 |        0.053406 |        0.054407 |     1.875000
  1400 |     4 |      232.325588 |        0.058007 |        0.058913 |     1.561858
  1500 |     4 |      247.047449 |        0.062704 |        0.063610 |     1.444867
  1600 |     4 |      261.328553 |        0.067115 |        0.068498 |     2.060391
  1700 |     4 |      262.563585 |        0.074220 |        0.075102 |     1.188564
  1800 |     4 |      283.334963 |        0.079489 |        0.079894 |     0.509898
  1900 |     4 |      293.124596 |        0.085497 |        0.086188 |     0.808701
  2000 |     4 |      299.940433 |        0.091696 |        0.092602 |     0.988039
  2100 |     4 |      305.071004 |        0.099206 |        0.100088 |     0.889209
  2200 |     4 |      315.277240 |        0.106287 |        0.106692 |     0.381337
  2300 |     4 |      320.787862 |        0.113606 |        0.114012 |     0.356768
  2400 |     4 |      333.276070 |        0.119495 |        0.120902 |     1.177175
  2500 |     4 |      334.231280 |        0.130081 |        0.130892 |     0.623167
  2600 |     4 |      339.752658 |        0.137901 |        0.138783 |     0.639696
  2700 |     4 |      343.686223 |        0.146317 |        0.147295 |     0.668079
  2800 |     4 |      351.010230 |        0.154805 |        0.156021 |     0.785461
  2900 |     4 |      354.750776 |        0.164413 |        0.165296 |     0.536543
  3000 |     4 |      360.014030 |        0.173306 |        0.174308 |     0.577796
   500 |     5 |       89.861176 |        0.022817 |        0.024295 |     6.478579
   600 |     5 |      124.905968 |        0.025010 |        0.025702 |     2.764538
   700 |     5 |      143.279477 |        0.027013 |        0.031185 |    15.445720
   800 |     5 |      173.029634 |        0.032210 |        0.033188 |     3.034789
   900 |     5 |      186.358679 |        0.036597 |        0.037503 |     2.475570
  1000 |     5 |      209.668259 |        0.040793 |        0.041795 |     2.454705
  1100 |     5 |      216.379731 |        0.045300 |        0.050783 |    12.105263
  1200 |     5 |      242.218946 |        0.052881 |        0.053596 |     1.352570
  1300 |     5 |      264.042350 |        0.056791 |        0.057697 |     1.595298
  1400 |     5 |      281.496842 |        0.061798 |        0.062513 |     1.157407
  1500 |     5 |      294.722073 |        0.066400 |        0.068116 |     2.585278
  1600 |     5 |      312.774885 |        0.072289 |        0.073504 |     1.682058
  1700 |     5 |      318.108356 |        0.080490 |        0.081205 |     0.888626
  1800 |     5 |      330.244475 |        0.085998 |        0.086904 |     1.053507
  1900 |     5 |      343.231591 |        0.093198 |        0.093794 |     0.639550
  2000 |     5 |      355.398333 |        0.099802 |        0.100684 |     0.883899
  2100 |     5 |      362.452621 |        0.107694 |        0.108814 |     1.040514
  2200 |     5 |      374.355591 |        0.113702 |        0.116110 |     2.117844
  2300 |     5 |      382.134550 |        0.123000 |        0.124216 |     0.988564
  2400 |     5 |      387.841602 |        0.131702 |        0.132298 |     0.452571
  2500 |     5 |      391.822270 |        0.143003 |        0.143504 |     0.350117
  2600 |     5 |      397.624561 |        0.151801 |        0.152397 |     0.392650
  2700 |     5 |      403.553945 |        0.161600 |        0.161910 |     0.191797
  2800 |     5 |      408.384998 |        0.171185 |        0.171590 |     0.236769
  2900 |     5 |      415.735268 |        0.180507 |        0.181985 |     0.818914
  3000 |     5 |      419.948634 |        0.190306 |        0.192094 |     0.939614
   500 |     6 |      112.097126 |        0.023293 |        0.024414 |     4.810645
   600 |     6 |      138.080370 |        0.025296 |        0.029683 |    17.342131
   700 |     6 |      166.405417 |        0.028801 |        0.032401 |    12.500000
   800 |     6 |      196.993524 |        0.033593 |        0.035286 |     5.039035
   900 |     6 |      216.425484 |        0.038910 |        0.040221 |     3.370098
  1000 |     6 |      228.845983 |        0.042605 |        0.047588 |    11.695580
  1100 |     6 |      254.214323 |        0.051308 |        0.052094 |     1.533457
  1200 |     6 |      280.527876 |        0.055289 |        0.056505 |     2.199224
  1300 |     6 |      301.313795 |        0.060511 |        0.061202 |     1.142632
  1400 |     6 |      323.364973 |        0.065899 |        0.066686 |     1.193922
  1500 |     6 |      341.691270 |        0.071406 |        0.072408 |     1.402337
  1600 |     6 |      358.165725 |        0.077295 |        0.078297 |     1.295497
  1700 |     6 |      364.593169 |        0.085688 |        0.086689 |     1.168614
  1800 |     6 |      378.043268 |        0.092602 |        0.093102 |     0.540680
  1900 |     6 |      390.842755 |        0.100493 |        0.100708 |     0.213523
  2000 |     6 |      400.537261 |        0.106692 |        0.108194 |     1.407821
  2100 |     6 |      410.545966 |        0.116491 |        0.117302 |     0.695866
  2200 |     6 |      420.682163 |        0.123596 |        0.125694 |     1.697531
  2300 |     6 |      426.938023 |        0.133991 |        0.134683 |     0.516014
  2400 |     6 |      436.276470 |        0.143099 |        0.144482 |     0.966345
  2500 |     6 |      437.084748 |        0.155282 |        0.156093 |     0.522033
  2600 |     6 |      446.034712 |        0.165486 |        0.165820 |     0.201700
  2700 |     6 |      452.201396 |        0.176191 |        0.176597 |     0.230041
  2800 |     6 |      458.966829 |        0.186086 |        0.187111 |     0.550929
  2900 |     6 |      462.365795 |        0.198197 |        0.198889 |     0.348851
  3000 |     6 |      468.438039 |        0.209403 |        0.209904 |     0.239098
   500 |     7 |      118.869661 |        0.023389 |        0.025797 |    10.295617
   600 |     7 |      159.595375 |        0.026512 |        0.030589 |    15.377698
   700 |     7 |      195.246200 |        0.029612 |        0.032687 |    10.386474
   800 |     7 |      228.514130 |        0.035596 |        0.035906 |     0.870730
   900 |     7 |      248.535514 |        0.040603 |        0.041389 |     1.937757
  1000 |     7 |      260.503830 |        0.045514 |        0.050092 |    10.057622
  1100 |     7 |      286.549249 |        0.054216 |        0.054789 |     1.055409
  1200 |     7 |      315.436612 |        0.058508 |        0.059295 |     1.344743
  1300 |     7 |      340.989390 |        0.063396 |        0.064397 |     1.579541
  1400 |     7 |      359.886352 |        0.069404 |        0.070882 |     2.129852
  1500 |     7 |      380.647588 |        0.075793 |        0.076890 |     1.446996
  1600 |     7 |      381.583755 |        0.082493 |        0.084686 |     2.658960
  1700 |     7 |      402.628709 |        0.091791 |        0.092483 |     0.753247
  1800 |     7 |      416.734481 |        0.099206 |        0.100303 |     1.105503
  1900 |     7 |      430.561565 |        0.107002 |        0.107884 |     0.824421
  2000 |     7 |      443.887381 |        0.115395 |        0.116396 |     0.867769
  2100 |     7 |      454.273191 |        0.124002 |        0.126219 |     1.788118
  2200 |     7 |      462.788088 |        0.134301 |        0.135493 |     0.887626
  2300 |     7 |      469.158868 |        0.144196 |        0.145102 |     0.628307
  2400 |     7 |      477.599326 |        0.154996 |        0.155401 |     0.261498
  2500 |     7 |      476.173588 |        0.168204 |        0.169492 |     0.765415
  2600 |     7 |      485.332303 |        0.179100 |        0.179505 |     0.226305
  2700 |     7 |      494.615679 |        0.189900 |        0.190711 |     0.426868
  2800 |     7 |      502.143146 |        0.201297 |        0.202012 |     0.355324
  2900 |     7 |      507.302777 |        0.213790 |        0.214791 |     0.468384
  3000 |     7 |      513.164315 |        0.226212 |        0.227308 |     0.484823
   500 |     8 |      137.908065 |        0.024199 |        0.027394 |    13.201970
   600 |     8 |      179.077611 |        0.027180 |        0.030494 |    12.192983
   700 |     8 |      215.539776 |        0.030494 |        0.034404 |    12.822517
   800 |     8 |      244.853681 |        0.037694 |        0.038290 |     1.581278
   900 |     8 |      258.911724 |        0.043893 |        0.047016 |     7.115698
  1000 |     8 |      283.168647 |        0.050187 |        0.051785 |     3.182898
  1100 |     8 |      312.354597 |        0.056696 |        0.057507 |     1.429773
  1200 |     8 |      337.224466 |        0.061584 |        0.062799 |     1.974448
  1300 |     8 |      367.437336 |        0.067997 |        0.068903 |     1.332398
  1400 |     8 |      385.931530 |        0.074291 |        0.075197 |     1.219512
  1500 |     8 |      399.866781 |        0.080705 |        0.082111 |     1.742984
  1600 |     8 |      427.359480 |        0.088096 |        0.089121 |     1.163735
  1700 |     8 |      433.597563 |        0.098705 |        0.099206 |     0.507246
  1800 |     8 |      449.890824 |        0.106883 |        0.107408 |     0.490743
  1900 |     8 |      464.937993 |        0.114322 |        0.116396 |     1.814390
  2000 |     8 |      474.506896 |        0.124693 |        0.125217 |     0.420650
  2100 |     8 |      483.397027 |        0.134706 |        0.136018 |     0.973451
  2200 |     8 |      494.316219 |        0.144076 |        0.146008 |     1.340394
  2300 |     8 |      500.594941 |        0.156307 |        0.157404 |     0.701647
  2400 |     8 |      512.293610 |        0.165796 |        0.167203 |     0.848433
  2500 |     8 |      512.713932 |        0.180697 |        0.182009 |     0.725689
  2600 |     8 |      517.798596 |        0.194001 |        0.194812 |     0.417844
  2700 |     8 |      525.730145 |        0.205398 |        0.206590 |     0.580383
  2800 |     8 |      532.182186 |        0.218892 |        0.219607 |     0.326762
  2900 |     8 |      538.739563 |        0.231099 |        0.233006 |     0.825338
  3000 |     8 |      545.054139 |        0.245690 |        0.246906 |     0.494905
   500 |     9 |      154.344618 |        0.025201 |        0.027013 |     7.190161
   600 |     9 |      196.920142 |        0.029516 |        0.030899 |     4.684976
   700 |     9 |      234.994055 |        0.033712 |        0.035596 |     5.586987
   800 |     9 |      270.785577 |        0.038600 |        0.039291 |     1.791229
   900 |     9 |      284.882930 |        0.044894 |        0.048900 |     8.921933
  1000 |     9 |      305.089584 |        0.052500 |        0.055599 |     5.903724
  1100 |     9 |      343.883333 |        0.058794 |        0.059795 |     1.703163
  1200 |     9 |      371.813867 |        0.064802 |        0.065494 |     1.066961
  1300 |     9 |      400.064339 |        0.070906 |        0.071812 |     1.277740
  1400 |     9 |      424.237705 |        0.077701 |        0.078487 |     1.012581
  1500 |     9 |      428.075700 |        0.085998 |        0.087118 |     1.303022
  1600 |     9 |      455.276978 |        0.093389 |        0.094104 |     0.765892
  1700 |     9 |      465.687906 |        0.104284 |        0.105286 |     0.960220
  1800 |     9 |      477.554371 |        0.113106 |        0.113702 |     0.526981
  1900 |     9 |      493.928633 |        0.122619 |        0.123382 |     0.622205
  2000 |     9 |      505.593266 |        0.132585 |        0.132990 |     0.305700
  2100 |     9 |      512.975490 |        0.144100 |        0.144911 |     0.562541
  2200 |     9 |      523.639401 |        0.154614 |        0.155520 |     0.585968
  2300 |     9 |      534.552315 |        0.166297 |        0.166702 |     0.243728
  2400 |     9 |      544.904825 |        0.178003 |        0.179100 |     0.616126
  2500 |     9 |      541.174898 |        0.193596 |        0.194407 |     0.418719
  2600 |     9 |      551.157507 |        0.207186 |        0.207806 |     0.299194
  2700 |     9 |      557.713550 |        0.220394 |        0.220799 |     0.183903
  2800 |     9 |      568.494531 |        0.232410 |        0.234413 |     0.861715
  2900 |     9 |      574.482026 |        0.246906 |        0.248885 |     0.801468
  3000 |     9 |      580.134292 |        0.262189 |        0.263691 |     0.572883
   500 |    10 |      174.507967 |        0.025392 |        0.027299 |     7.511737
   600 |    10 |      213.183156 |        0.028992 |        0.032282 |    11.348684
   700 |    10 |      250.065198 |        0.033188 |        0.036597 |    10.272988
   800 |    10 |      285.356237 |        0.040293 |        0.043321 |     7.514793
   900 |    10 |      301.752184 |        0.048900 |        0.050187 |     2.632862
  1000 |    10 |      325.671885 |        0.055695 |        0.056887 |     2.140411
  1100 |    10 |      364.270981 |        0.061607 |        0.062108 |     0.812693
  1200 |    10 |      392.552421 |        0.067496 |        0.068402 |     1.342282
  1300 |    10 |      421.680489 |        0.074100 |        0.075507 |     1.898327
  1400 |    10 |      445.701198 |        0.081801 |        0.082803 |     1.224133
  1500 |    10 |      464.412424 |        0.089788 |        0.090384 |     0.663834
  1600 |    10 |      492.927621 |        0.097299 |        0.097704 |     0.416565
  1700 |    10 |      496.908327 |        0.109100 |        0.110006 |     0.830420
  1800 |    10 |      507.792958 |        0.118804 |        0.119686 |     0.742525
  1900 |    10 |      525.577454 |        0.128603 |        0.129390 |     0.611791
  2000 |    10 |      538.735645 |        0.139594 |        0.140715 |     0.802733
  2100 |    10 |      547.500417 |        0.151205 |        0.152612 |     0.930306
  2200 |    10 |      557.481279 |        0.163412 |        0.164199 |     0.481471
  2300 |    10 |      569.335290 |        0.175500 |        0.176096 |     0.339628
  2400 |    10 |      575.130342 |        0.188303 |        0.189614 |     0.696379
  2500 |    10 |      572.190472 |        0.205207 |        0.206184 |     0.476356
  2600 |    10 |      581.208610 |        0.218511 |        0.219703 |     0.545554
  2700 |    10 |      590.609244 |        0.232601 |        0.234413 |     0.779008
  2800 |    10 |      595.779573 |        0.248289 |        0.249600 |     0.528135
  2900 |    10 |      601.960489 |        0.264120 |        0.264788 |     0.252753
  3000 |    10 |      605.716258 |        0.280190 |        0.281000 |     0.289312
   500 |    11 |      183.513947 |        0.025916 |        0.028300 |     9.199632
   600 |    11 |      235.312577 |        0.029206 |        0.032187 |    10.204082
   700 |    11 |      269.286538 |        0.036812 |        0.038218 |     3.821244
   800 |    11 |      312.643767 |        0.041199 |        0.041914 |     1.736111
   900 |    11 |      327.939513 |        0.050306 |        0.051999 |     3.364929
  1000 |    11 |      359.529700 |        0.058007 |        0.058317 |     0.534320
  1100 |    11 |      395.000068 |        0.063205 |        0.064397 |     1.886081
