   m   |   k   |    GFLOPS/S     |   minimum (ms)   |   median (ms)   |   stability (%)
   500 |     1 |       13.212746 |        0.017500 |        0.019002 |     8.583106
   600 |     1 |       18.018214 |        0.019121 |        0.019813 |     3.615960
   700 |     1 |       23.907477 |        0.019288 |        0.020599 |     6.798517
   800 |     1 |       29.545391 |        0.020003 |        0.021601 |     7.985697
   900 |     1 |       35.347583 |        0.020909 |        0.022602 |     8.095781
  1000 |     1 |       39.871942 |        0.022507 |        0.023603 |     4.872881
  1100 |     1 |       45.392019 |        0.024390 |        0.025916 |     6.256110
  1200 |     1 |       53.708387 |        0.023198 |        0.025606 |    10.380267
  1300 |     1 |       57.951068 |        0.025988 |        0.029087 |    11.926605
  1400 |     1 |       55.358624 |        0.033092 |        0.034714 |     4.899136
  1500 |     1 |       72.714187 |        0.028491 |        0.030994 |     8.786611
  1600 |     1 |       83.781954 |        0.029182 |        0.030589 |     4.820261
  1700 |     1 |       86.524455 |        0.032187 |        0.032997 |     2.518518
  1800 |     1 |       97.728559 |        0.032496 |        0.033092 |     1.834189
  1900 |     1 |       89.420421 |        0.039101 |        0.040293 |     3.048780
  2000 |     1 |      111.087316 |        0.034189 |        0.035906 |     5.020920
  2100 |     1 |      116.341111 |        0.036383 |        0.037098 |     1.965924
  2200 |     1 |      124.692824 |        0.037813 |        0.038695 |     2.332913
  2300 |     1 |      101.593110 |        0.048113 |        0.051498 |     7.036670
  2400 |     1 |      117.597804 |        0.045300 |        0.048995 |     8.157895
  2500 |     1 |      122.945882 |        0.050306 |        0.050688 |     0.758294
  2600 |     1 |      130.622439 |        0.050783 |        0.051713 |     1.830986
  2700 |     1 |      132.636146 |        0.053191 |        0.055099 |     3.585836
  2800 |     1 |      133.598161 |        0.057602 |        0.058699 |     1.903973
  2900 |     1 |      134.982015 |        0.061297 |        0.062203 |     1.478024
  3000 |     1 |      143.485188 |        0.061917 |        0.062799 |     1.424721
   500 |     2 |       38.643925 |        0.018692 |        0.019288 |     3.188776
   600 |     2 |       53.514006 |        0.018787 |        0.019908 |     5.964467
