   m   |   k   |    GFLOPS/S     |   minimum (ms)   |   median (ms)   |   stability (%)
   500 |     1 |        0.538334 |        0.461793 |        0.463390 |     0.345914
   600 |     1 |        0.677436 |        0.499058 |        0.524652 |     5.128511
   700 |     1 |        0.490694 |        0.976753 |        1.000047 |     2.384788
   800 |     1 |        0.640346 |        0.970197 |        1.000047 |     3.076696
   900 |     1 |        0.810180 |        0.992000 |        0.999999 |     0.806345
  1000 |     1 |        0.965978 |        1.013148 |        1.038301 |     2.482674
  1100 |     1 |        0.900399 |        1.310742 |        1.337647 |     2.052695
  1200 |     1 |        0.957708 |        1.477456 |        1.499903 |     1.519308
  1300 |     1 |        0.999705 |        1.660657 |        1.671195 |     0.634574
  1400 |     1 |        0.978896 |        1.949298 |        2.000010 |     2.601532
  1500 |     1 |        1.068054 |        2.076602 |        2.086306 |     0.467284
  1600 |     1 |        1.085567 |        2.327502 |        2.342355 |     0.638173
  1700 |     1 |        1.166415 |        2.448201 |        2.468848 |     0.843356
